devId: 111488503, devName: 3FA-011
devId: 111488512, devName: 3FA-020
devId: 111488511, devName: 3FA-019
devId: 111488510, devName: 3FA-018
devId: 111488509, devName: 3FA-017
devId: 111488508, devName: 3FA-016
devId: 111488507, devName: 3FA-015
devId: 111488506, devName: 3FA-014
devId: 111488505, devName: 3FA-013
devId: 111488504, devName: 3FA-012
devId: 111488493, devName: 3FA-001
devId: 111488502, devName: 3FA-010
devId: 111488501, devName: 3FA-009
devId: 111488500, devName: 3FA-008
devId: 111488499, devName: 3FA-007
devId: 111488498, devName: 3FA-006
devId: 111488497, devName: 3FA-005
devId: 111488496, devName: 3FA-004
devId: 111488495, devName: 3FA-003
devId: 111488494, devName: 3FA-002
