devId: 111488525, devName: 4FA-013
devId: 111488536, devName: 4FA-024
devId: 111488535, devName: 4FA-023
devId: 111488534, devName: 4FA-022
devId: 111488533, devName: 4FA-021
devId: 111488532, devName: 4FA-020
devId: 111488531, devName: 4FA-019
devId: 111488530, devName: 4FA-018
devId: 111488529, devName: 4FA-017
devId: 111488528, devName: 4FA-016
devId: 111488527, devName: 4FA-015
devId: 111488526, devName: 4FA-014
devId: 111488513, devName: 4FA-001
devId: 111488524, devName: 4FA-012
devId: 111488523, devName: 4FA-011
devId: 111488522, devName: 4FA-010
devId: 111488521, devName: 4FA-009
devId: 111488520, devName: 4FA-008
devId: 111488519, devName: 4FA-007
devId: 111488518, devName: 4FA-006
devId: 111488517, devName: 4FA-005
devId: 111488516, devName: 4FA-004
devId: 111488515, devName: 4FA-003
devId: 111488514, devName: 4FA-002
